query_id,skill_type,skill_name_zh,actual_query_backend,op_domain,op_topic,source_origin,source_note,version,test_group,category,query_text,normalized_intent,condition_count,field_atoms,expression_type,time_window,unit_type,operator_type,order_variant,risk_tags,run_count,success_count,none_count,error_count,empty_count,avg_result_count,min_result_count,max_result_count,avg_latency_ms,status,risk_level,recommended_usage,notes
A12-001,astock,问财选A股,stock,wencai_query,code_pool,seed_spec,第三批深测,v3,A12_code_pool_requery,pool_relative,在以下股票代码中，哪些今日成交额大于近5日平均成交额1.5倍：000060、603399、600519、000858、600036、601318、000333、600276、000001、600000,代码池+成交额>近5日均×1.5,2,股票代码池|成交额|近5日均成交额,pool+relative,today,定性,relative_gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,"期望返回 ['000060', '603399']；代码池:000060、603399、600519、000858、60..."
A12-002,astock,问财选A股,stock,wencai_query,code_pool,seed_spec,第三批深测,v3,A12_code_pool_requery,pool_relative_ma,在以下股票代码中，哪些今日成交额大于近5日平均成交额1.5倍，且今日收盘价站上5日均线：000060、603399、600519、000858、600036、601318、000333、600276、000001、600000,代码池+成交额>近5日均×1.5+收盘>MA5,3,股票代码池|成交额|近5日均成交额|MA5,pool+relative+compare,today,定性,relative_gt+gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,双条件代码池
A12-003,astock,问财选A股,stock,wencai_query,code_pool,seed_spec,第三批深测,v3,A12_code_pool_requery,pool_pullback,在以下股票代码中，哪些近3日股价回撤大于3%：000060、603399、600519、000858、600036、601318、000333、600276、000001、600000,代码池+近3日回撤>3%,2,股票代码池|近3日股价回撤,pool+simple,today,定性,gt,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,回撤条件代码池
A12-004,astock,问财选A股,stock,wencai_query,code_pool,seed_spec,第三批深测,v3,A12_code_pool_requery,pool_limitup,在以下股票代码中，哪些近10日有涨停：000060、603399、600519、000858、600036、601318、000333、600276、000001、600000,代码池+近10日有涨停,2,股票代码池|近10日涨停,pool+pattern,today,定性,pattern,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,涨停条件代码池
A12-005,astock,问财选A股,stock,wencai_query,code_pool,seed_spec,第三批深测,v3,A12_code_pool_requery,pool_shrink,在以下股票代码中，哪些近3日缩量：000060、603399、600519、000858、600036、601318、000333、600276、000001、600000,代码池+近3日缩量,2,股票代码池|近3日缩量,pool+vague,today,定性,vague,standard,non_standard_field,0,0,0,0,0,0,0,0,0,pending,high,manual_only,缩量字段代码池
A12-006,astock,问财选A股,stock,wencai_query,code_pool,seed_spec,第三批深测,v3,A12_code_pool_requery,pool_ma_not_break,在以下股票代码中，哪些没有跌破10日均线：000060、603399、600519、000858、600036、601318、000333、600276、000001、600000,代码池+未破MA10,2,股票代码池|10日均线,pool+compare_neg,today,定性,not_break,standard,,0,0,0,0,0,0,0,0,0,pending,medium,pending,均线不破代码池
